time, sensor, 
0, 0,
1, 1,
2, 2,
3, 3,
4, 4,
5, 5,
6, 6,
7, 7,
8, 8,
9, 9,
10, 10,
11, 11,
12, 12,
13, 13,
14, 14,
15, 15,
16, 16,
17, 17,
18, 18,
19, 19,
20, 0,
21, 1,
22, 2,
23, 3,
24, 4,
25, 5,
26, 6,
27, 7,
28, 8,
29, 9,
30, 10,
31, 11,
32, 12,
33, 13,
34, 14,
35, 15,
36, 16,
37, 17,
38, 18,
39, 19,
40, 0,
41, 1,
42, 2,
43, 3,
44, 4,
45, 5,
46, 6,
47, 7,
48, 8,
49, 9,
50, 10,
51, 11,
52, 12,
53, 13,
54, 14,
55, 15,
56, 16,
57, 17,
58, 18,
59, 19,
60, 0,
61, 1,
62, 2,
63, 3,
64, 4,
65, 5,
66, 6,
67, 7,
68, 8,
69, 9,
70, 10,
71, 11,
72, 12,
73, 13,
74, 14,
75, 15,
76, 16,
77, 17,
78, 18,
79, 19,
80, 0,
81, 1,
82, 2,
83, 3,
84, 4,
85, 5,
86, 6,
87, 7,
88, 8,
89, 9,
90, 10,
91, 11,
92, 12,
93, 13,
94, 14,
95, 15,
96, 16,
97, 17,
98, 18,
99, 19,
100, 0,
101, 1,
102, 2,
103, 3,
104, 4,
105, 5,
106, 6,
107, 7,
108, 8,
109, 9,
110, 10,
111, 11,
112, 12,
113, 13,
114, 14,
115, 15,
116, 16,
117, 17,
118, 18,
119, 19,
120, 0,
121, 1,
122, 2,
123, 3,
124, 4,
125, 5,
126, 6,
127, 7,
128, 8,
129, 9,
130, 10,
131, 11,
132, 12,
133, 13,
134, 14,
135, 15,
136, 16,
137, 17,
138, 18,
139, 19,
140, 0,
141, 1,
142, 2,
143, 3,
144, 4,
145, 5,
146, 6,
147, 7,
148, 8,
149, 9,
150, 10,
151, 11,
152, 12,
153, 13,
154, 14,
155, 15,
156, 16,
157, 17,
158, 18,
159, 19,
160, 0,
161, 1,
162, 2,
163, 3,
164, 4,
165, 5,
166, 6,
167, 7,
168, 8,
169, 9,
170, 10,
171, 11,
172, 12,
173, 13,
174, 14,
175, 15,
176, 16,
177, 17,
178, 18,
179, 19,
180, 0,
181, 1,
182, 2,
183, 3,
184, 4,
185, 5,
186, 6,
187, 7,
188, 8,
189, 9,
190, 10,
191, 11,
192, 12,
193, 13,
194, 14,
195, 15,
196, 16,
197, 17,
198, 18,
199, 19,
200, 0,
201, 1,
202, 2,
203, 3,
204, 4,
205, 5,
206, 6,
207, 7,
208, 8,
209, 9,
210, 10,
211, 11,
212, 12,
213, 13,
214, 14,
215, 15,
216, 16,
217, 17,
218, 18,
219, 19,
220, 0,
221, 1,
222, 2,
223, 3,
224, 4,
225, 5,
226, 6,
227, 7,
228, 8,
229, 9,
230, 10,
231, 11,
232, 12,
233, 13,
234, 14,
235, 15,
236, 16,
237, 17,
238, 18,
239, 19,
240, 0,
241, 1,
242, 2,
243, 3,
244, 4,
245, 5,
246, 6,
247, 7,
248, 8,
249, 9,
250, 10,
251, 11,
252, 12,
253, 13,
254, 14,
255, 15,
256, 16,
257, 17,
258, 18,
259, 19,
260, 0,
261, 1,
262, 2,
263, 3,
264, 4,
265, 5,
266, 6,
267, 7,
268, 8,
269, 9,
270, 10,
271, 11,
272, 12,
273, 13,
274, 14,
275, 15,
276, 16,
277, 17,
278, 18,
279, 19,
280, 0,
281, 1,
282, 2,
283, 3,
284, 4,
285, 5,
286, 6,
287, 7,
288, 8,
289, 9,
290, 10,
291, 11,
292, 12,
293, 13,
294, 14,
295, 15,
296, 16,
297, 17,
298, 18,
299, 19,
300, 0,
301, 1,
302, 2,
303, 3,
304, 4,
305, 5,
306, 6,
307, 7,
308, 8,
309, 9,
310, 10,
311, 11,
312, 12,
313, 13,
314, 14,
315, 15,
316, 16,
317, 17,
318, 18,
319, 19,
320, 0,
321, 1,
322, 2,
323, 3,
324, 4,
325, 5,
326, 6,
327, 7,
328, 8,
329, 9,
330, 10,
331, 11,
332, 12,
333, 13,
334, 14,
335, 15,
336, 16,
337, 17,
338, 18,
339, 19,
340, 0,
341, 1,
342, 2,
343, 3,
344, 4,
345, 5,
346, 6,
347, 7,
348, 8,
349, 9,
350, 10,
351, 11,
352, 12,
353, 13,
354, 14,
355, 15,
356, 16,
357, 17,
358, 18,
359, 19,
360, 0,
361, 1,
362, 2,
363, 3,
364, 4,
365, 5,
366, 6,
367, 7,
368, 8,
369, 9,
370, 10,
371, 11,
372, 12,
373, 13,
374, 14,
375, 15,
376, 16,
377, 17,
378, 18,
379, 19,
380, 0,
381, 1,
382, 2,
383, 3,
384, 4,
385, 5,
386, 6,
387, 7,
388, 8,
389, 9,
390, 10,
391, 11,
392, 12,
393, 13,
394, 14,
395, 15,
396, 16,
397, 17,
398, 18,
399, 19,
400, 0,
401, 1,
402, 2,
403, 3,
404, 4,
405, 5,
406, 6,
407, 7,
408, 8,
409, 9,
410, 10,
411, 11,
412, 12,
413, 13,
414, 14,
415, 15,
416, 16,
417, 17,
418, 18,
419, 19,
420, 0,
421, 1,
422, 2,
423, 3,
424, 4,
425, 5,
426, 6,
427, 7,
428, 8,
429, 9,
430, 10,
431, 11,
432, 12,
433, 13,
434, 14,
435, 15,
436, 16,
437, 17,
438, 18,
439, 19,
440, 0,
441, 1,
442, 2,
443, 3,
444, 4,
445, 5,
446, 6,
447, 7,
448, 8,
449, 9,
450, 10,
451, 11,
452, 12,
453, 13,
454, 14,
455, 15,
456, 16,
457, 17,
458, 18,
459, 19,
460, 0,
461, 1,
462, 2,
463, 3,
464, 4,
465, 5,
466, 6,
467, 7,
468, 8,
469, 9,
470, 10,
471, 11,
472, 12,
473, 13,
474, 14,
475, 15,
476, 16,
477, 17,
478, 18,
479, 19,
480, 0,
481, 1,
482, 2,
483, 3,
484, 4,
485, 5,
486, 6,
487, 7,
488, 8,
489, 9,
490, 10,
491, 11,
492, 12,
493, 13,
494, 14,
495, 15,
496, 16,
497, 17,
498, 18,
499, 19,
500, 0,
501, 1,
502, 2,
503, 3,
504, 4,
505, 5,
506, 6,
507, 7,
508, 8,
509, 9,
510, 10,
511, 11,
512, 12,
513, 13,
514, 14,
515, 15,
516, 16,
517, 17,
518, 18,
519, 19,
520, 0,
521, 1,
522, 2,
523, 3,
524, 4,
525, 5,
526, 6,
527, 7,
528, 8,
529, 9,
530, 10,
531, 11,
532, 12,
533, 13,
534, 14,
535, 15,
536, 16,
537, 17,
538, 18,
539, 19,
540, 0,
541, 1,
542, 2,
543, 3,
544, 4,
545, 5,
546, 6,
547, 7,
548, 8,
549, 9,
550, 10,
551, 11,
552, 12,
553, 13,
554, 14,
555, 15,
556, 16,
557, 17,
558, 18,
559, 19,
560, 0,
561, 1,
562, 2,
563, 3,
564, 4,
565, 5,
566, 6,
567, 7,
568, 8,
569, 9,
570, 10,
571, 11,
572, 12,
573, 13,
574, 14,
575, 15,
576, 16,
577, 17,
578, 18,
579, 19,
580, 0,
581, 1,
582, 2,
583, 3,
584, 4,
585, 5,
586, 6,
587, 7,
588, 8,
589, 9,
590, 10,
591, 11,
592, 12,
593, 13,
594, 14,
595, 15,
596, 16,
597, 17,
598, 18,
599, 19,
